model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,brand
2014,dodge_charger,2,8,gas,102878,automatic,sedan,white,0,dodge
2008,chevrolet_silverado,2,8,gas,170000,automatic,truck,black,1,chevrolet
2009,hyundai_elantra,4,4,gas,151223,automatic,sedan,custom,0,hyundai
2000,gmc_yukon,4,8,gas,226111,automatic,SUV,grey,1,gmc
2011,chevrolet_camaro,2,6,gas,100680,manual,coupe,silver,0,chevrolet
2009,bmw_x5,2,6,gas,104482,automatic,SUV,blue,1,bmw
2017,ford_mustang_gt_coupe_2d,2,8,gas,35068,other,coupe,yellow,0,ford
2015,chevrolet_camaro_lt_coupe_2d,2,6,gas,33926,other,coupe,grey,0,chevrolet
2010,ram_1500,2,8,gas,50500,automatic,truck,white,1,ram
2010,chevrolet_colorado,2,5,gas,200800,automatic,pickup,unknown,0,chevrolet
2003,chevrolet_silverado,2,8,gas,230000,automatic,pickup,unknown,0,chevrolet
2017,honda_pilot,4,6,gas,32104,automatic,SUV,white,0,honda
2012,toyota_rav4,3,4,gas,124526,automatic,SUV,black,1,toyota
2017,hyundai_sonata,3,4,gas,105985,automatic,sedan,white,0,hyundai
2013,ford_mustang_gt_coupe_2d,2,8,gas,22474,other,coupe,white,0,ford
2012,ford_fusion_se,3,6,gas,90000,automatic,sedan,grey,0,ford
2008,subaru_forester,3,4,gas,165000,automatic,SUV,white,1,subaru
2015,chevrolet_silverado_1500_crew,2,8,gas,92281,automatic,pickup,white,1,chevrolet
2017,nissan_frontier_crew_cab_sv,2,6,gas,40002,other,pickup,white,0,nissan
2009,chevrolet_colorado,3,5,gas,114922,automatic,truck,red,1,chevrolet
2004,ford_explorer,2,6,gas,140355,automatic,SUV,white,1,ford
2014,ford_f150_supercrew_cab_xlt,2,6,gas,73711,automatic,pickup,white,1,ford
2015,ford_f150_supercrew_cab_xlt,2,6,gas,48278,other,pickup,brown,1,ford
2019,nissan_frontier_crew_cab_sv,2,6,gas,16168,other,pickup,white,0,nissan
2017,chevrolet_camaro_lt_coupe_2d,2,6,gas,35807,other,coupe,black,0,chevrolet
2018,chevrolet_camaro_lt_coupe_2d,2,6,gas,21000,other,coupe,grey,0,chevrolet
2013,ford_f-350_sd,2,8,diesel,207738,automatic,truck,brown,1,ford
2017,ford_mustang_gt_coupe_2d,2,8,gas,6665,other,coupe,blue,0,ford
2018,ford_mustang_gt_coupe_2d,2,8,gas,3827,automatic,coupe,yellow,0,ford
2019,nissan_frontier_crew_cab_sv,2,6,gas,24209,other,pickup,unknown,1,nissan
2014,chevrolet_silverado_1500_crew,2,6,gas,85048,automatic,pickup,silver,1,chevrolet
2017,nissan_frontier_crew_cab_sv,2,6,gas,12901,other,pickup,black,1,nissan
2018,nissan_frontier_crew_cab_sv,2,6,gas,27576,other,pickup,unknown,1,nissan
2017,chevrolet_camaro_lt_coupe_2d,2,6,gas,3568,other,coupe,unknown,0,chevrolet
2012,nissan_versa,2,4,gas,146000,automatic,sedan,unknown,0,nissan
2017,ford_f150_supercrew_cab_xlt,2,6,gas,35068,automatic,pickup,white,1,ford
2016,kia_sorento,4,4,gas,47847,automatic,SUV,brown,0,kia
2018,chevrolet_silverado_1500_crew,2,8,gas,11315,other,pickup,white,1,chevrolet
2006,honda_accord,4,4,gas,195000,automatic,sedan,silver,0,honda
2012,chevrolet_impala,3,6,gas,145000,automatic,sedan,white,0,chevrolet
2015,chevrolet_silverado_1500,3,8,gas,92634,automatic,truck,black,1,chevrolet
2019,nissan_frontier_crew_cab_sv,2,6,gas,20168,other,pickup,blue,1,nissan
2012,chevrolet_silverado_1500_crew,2,8,other,116510,other,pickup,unknown,1,chevrolet
2010,ford_edge,2,6,gas,98193,automatic,SUV,blue,1,ford
2000,nissan_maxima,2,6,gas,170000,automatic,sedan,green,0,nissan
2005,chevrolet_equinox,2,6,gas,150352,automatic,SUV,silver,0,chevrolet
2000,nissan_maxima,2,6,gas,179634,automatic,sedan,green,0,nissan
2009,ford_f-250,2,8,gas,189490,automatic,truck,white,1,ford
2011,nissan_sentra,2,4,gas,116000,automatic,sedan,silver,0,nissan
2018,nissan_frontier_crew_cab_sv,2,6,gas,16295,other,pickup,blue,1,nissan
2012,nissan_frontier_crew_cab_sv,2,6,gas,116510,other,pickup,white,0,nissan
2016,ford_mustang_gt_coupe_2d,2,8,gas,55189,other,coupe,black,0,ford
2015,ford_mustang_gt_coupe_2d,2,8,gas,37270,other,coupe,black,0,ford
2014,chevrolet_silverado_1500_crew,2,8,gas,68607,automatic,pickup,black,1,chevrolet
2013,nissan_altima,3,4,gas,140000,automatic,sedan,silver,0,nissan
2014,ford_f150,3,8,gas,116000,automatic,truck,grey,1,ford
1993,ford_f-150,2,8,gas,258225,automatic,truck,red,0,ford
2010,chevrolet_silverado_1500,3,8,gas,151442,automatic,truck,silver,1,chevrolet
2012,chevrolet_suburban,3,8,gas,158487,automatic,SUV,grey,1,chevrolet
2009,chevrolet_silverado_1500,3,8,gas,119726,automatic,truck,grey,1,chevrolet
2013,jeep_wrangler,3,6,gas,138806,automatic,SUV,black,1,jeep
2012,chevrolet_cruze,3,4,gas,81559,automatic,sedan,black,0,chevrolet
2017,chevrolet_silverado_1500,3,8,gas,13808,automatic,truck,white,1,chevrolet
2004,ford_expedition,3,8,gas,92546,automatic,SUV,blue,1,ford
